Black Keyword,Erotas,"",
White Keyword,VFL,AFL,10
White Keyword,PGA,Golf,10
White Keyword,Footy,AFL,10
White Keyword,SANFL,AFL,10
White Keyword,ATP,Tennis,10
White Keyword,EPL,Soccer,10
White Keyword,SPL,Soccer,10
White Keyword,WTA,Tennis,10
White Keyword,FIFA,Soccer,10
White Keyword,IPL,Cricket,10
White Keyword,ODI,Cricket,10
White Keyword,T20,Cricket,10
White Keyword,TAC Cup,AFL,10
White Keyword,UEFA,Soccer,10
White Keyword,Fins,Surfing,10
White Keyword,Fish,Fishing,10
White Keyword,Horse,Racing,10
White Keyword,MLB,Baseball,10
White Keyword,Surf,Surfing,10
White Keyword,UFC,Fighting,10
White Keyword,WWE,Fighting,10
White Keyword,FA Cup,Soccer,10
White Keyword,Angler,Fishing,10
White Keyword,Fight,Fighting,10
White Keyword,Fishin,Fishing,10
White Keyword,Foxtel Cup,AFL,10
White Keyword,Ligue 1,Soccer,10
White Keyword,NBA,Basketball,10
White Keyword,NBL,Basketball,10
White Keyword,NHL,Ice Hockey,10
White Keyword,Pro Box,Boxing,10
White Keyword,Raceday,Racing,10
White Keyword,Serie A,Soccer,10
White Keyword,A-League,Soccer,10
White Keyword,Euro Cup,Soccer,10
White Keyword,F1,Motor Sports,10
White Keyword,FIVB,Volleyball,10
White Keyword,IRB,Rugby Union,10
White Keyword,J-League,Soccer,10
White Keyword,Karate,Fighting,10
White Keyword,NCAA,Basketball,10
White Keyword,One Day,Cricket,10
White Keyword,Pool,Cue Sports,5
White Keyword,RWC,Rugby Union,10
White Keyword,V8,Motor Sports,10
White Keyword,W-League,Soccer,10
White Keyword,4WD,Motor Sports,10
White Keyword,Big Bash,Cricket,10
White Keyword,Bowls,Lawn Bowls,10
White Keyword,Cox Plate,Racing,10
White Keyword,Davis Cup,Tennis,10
White Keyword,Euro 2012,Soccer,10
White Keyword,GT1,Motor Sports,10
White Keyword,NRL,Rugby League,10
White Keyword,Racenight,Racing,10
White Keyword,Rip Curl,Surfing,10
White Keyword,Trackside,Racing,10
White Keyword,Trackwork,Racing,10
White Keyword,Twenty20,Cricket,10
White Keyword,Wimbledon,Tennis,10
White Keyword,WRC,Motor Sports,10
White Keyword,Arsenal TV,Soccer,10
White Keyword,Billabong,Surfing,10
White Keyword,Bundesliga,Soccer,10
White Keyword,Chelsea TV,Soccer,10
White Keyword,EllisMania,Boxing,10
White Keyword,Eredivisie,Soccer,10
White Keyword,Ironman,Triathlon,10
White Keyword,Kart,Motor Sports,10
White Keyword,Moto,Motor Sports,10
White Keyword,NHRA,Motor Sports,10
White Keyword,Right Odds,Racing,10
White Keyword,WTCC,Motor Sports,10
White Keyword,ANDRA,Motor Sports,10
White Keyword,Bred to Win,Racing,10
White Keyword,Carling Cup,Soccer,10
White Keyword,French Open,Tennis,10
White Keyword,Natsiba,Basketball,10
White Keyword,Shui on China,Golf,10
White Keyword,Snooker,Cue Sports,10
White Keyword,Wrestling,Fighting,10
White Keyword,Champions Tour,Golf,10
White Keyword,Copa America,Soccer,10
White Keyword,Emirates Cup,Soccer,10
White Keyword,ITM Cup,Rugby Union,10
White Keyword,JBWere Masters,Golf,10
White Keyword,Liverpool TV,Soccer,10
White Keyword,MotoGP,Motor Sports,10
White Keyword,NASCAR,Motor Sports,10
White Keyword,Presidents Cup,Golf,10
White Keyword,Punting Club,Racing,10
White Keyword,Spanish Liga,Soccer,10
White Keyword,Total Trials,Racing,10
White Keyword,Auto GP,Motor Sports,10
White Keyword,Billiards,Cue Sports,10
White Keyword,Black Bookers,Racing,10
White Keyword,Indycar,Motor Sports,10
White Keyword,Karting,Motor Sports,10
White Keyword,Le Mans,Motor Sports,10
White Keyword,M1 Selections,Boxing,10
White Keyword,Melbourne Cup,Racing,10
White Keyword,Moto GP,Motor Sports,10
White Keyword,Nationwide Tour,Golf,10
White Keyword,Superkombat,Fighting,10
White Keyword,Thoroughbreds,Racing,10
White Keyword,6 Nations,Rugby Union,10
White Keyword,Barrier Trials,Racing,10
White Keyword,Bledisloe,Rugby Union,10
White Keyword,DTM 2011,Motor Sports,10
White Keyword,Inside Running,Racing,10
White Keyword,Martial Arts,Fighting,10
White Keyword,NFL,American Football,10
White Keyword,Premier League,Soccer,10
White Keyword,Pro Bull Riding,Rodeo,10
White Keyword,Speedway,Motor Sports,10
White Keyword,The Early Mail,Racing,10
White Keyword,The Grid,Motor Sports,10
White Keyword,ASP World Tour,Surfing,10
White Keyword,Champions Classic,Golf,10
White Keyword,Currie Cup,Rugby Union,10
White Keyword,Formula 1,Motor Sports,10
White Keyword,Ping Pong,Table Tennis,10
White Keyword,Speedweek,Motor Sports,10
White Keyword,Spring Classics,Racing,10
White Keyword,Superbike,Motor Sports,10
White Keyword,Supercars,Motor Sports,10
White Keyword,Supermoto,Motor Sports,10
White Keyword,Tour de France,Cycling,10
White Keyword,Big Bash League,Cricket,10
White Keyword,International Rules,AFL,10
White Keyword,Moto Cross,Motor Sports,10
White Keyword,Motorsport,Motor Sports,10
White Keyword,Primera Division,Soccer,10
White Keyword,Shanghai Masters,Tennis,10
White Keyword,Six Nations,Rugby Union,10
White Keyword,Sports Car,Motor Sports,10
White Keyword,Sprintcars,Motor Sports,10
White Keyword,Super Rugby,Rugby Union,10
White Keyword,The Catching Pen,Racing,10
White Keyword,Total Rugby,Rugby Union,10
White Keyword,Tour of Beijing,Cycling,10
White Keyword,Toyota Cup,Rugby League,10
White Keyword,Tri Nations,Rugby Union,10
White Keyword,Argentine Primera,Soccer,10
White Keyword,Carrera Cup,Motor Sports,10
White Keyword,College Hoops,Basketball,10
White Keyword,Copa Sudamericana,Soccer,10
White Keyword,Dakar Rally,Motor Sports,10
White Keyword,Formula One,Motor Sports,10
White Keyword,Formula Two,Motor Sports,10
White Keyword,Heineken Cup,Rugby Union,10
White Keyword,Monster Jam,Motor Sports,10
White Keyword,Stankovic Cup,Basketball,10
White Keyword,Tour of Lombardy,Cycling,10
White Keyword,Touring Car,Motor Sports,10
White Keyword,Danone Nations Cup,Soccer,10
White Keyword,European Qualifier,Soccer,10
White Keyword,Formula Ford,Motor Sports,10
White Keyword,Four Nations,Rugby League,10
White Keyword,La Giostra dei gol,Soccer,10
White Keyword,Ladies European Tour,Golf,10
White Keyword,Australian GT,Motor Sports,10
White Keyword,Blue Square Premier,Soccer,10
White Keyword,Formula Drift,Motor Sports,10
White Keyword,League Championship,Soccer,10
White Keyword,Margaret River Pro,Surfing,10
White Keyword,Protathlima Elladas,Soccer,10
White Keyword,Protathlima Ellados,Soccer,10
White Keyword,Race to Dakar,Motor Sports,10
White Keyword,Scottish League Cup,Soccer,10
White Keyword,World Cup Qualifier,Soccer,10
White Keyword,AFC Champions League,Soccer,10
White Keyword,Amlin Challenge,Rugby Union,10
White Keyword,Anglo-Welsh Cup,Rugby Union,10
White Keyword,Chequered Flag,Motor Sports,10
White Keyword,Fujitsu Series,Motor Sports,10
White Keyword,Rugby World Cup,Rugby Union,10
White Keyword,World Cup Indoors,Lawn Bowls,10
White Keyword,Aviva Premiership,Rugby Union,10
White Keyword,Brisbane International,Tennis,10
White Keyword,Island of Origin,Rugby League,10
White Keyword,PSA World Super Series,Squash,10
White Keyword,RaboDirect Pro 12,Rugby Union,10
White Keyword,World Series Classics,Cricket,10
White Keyword,AFC World Cup Qualifier,Soccer,10
White Keyword,MX Nationals 2011,Motor Sports,10
White Keyword,Superstars Series,Motor Sports,10
White Keyword,Trans Tasman Test,Rugby League,10
White Keyword,Euro Hockey League,Field Hockey,10
White Keyword,Rally Championship,Motor Sports,10
White Keyword,Shannons Nationals,Motor Sports,10
White Keyword,World Cup 2014 Qualifier,Soccer,10
White Keyword,La Grande Giostra dei Gol,Soccer,10
White Keyword,Australian Schoolboys,Rugby Union,10
White Keyword,College Football,American Football,10
White Keyword,Intercontinental Rally,Motor Sports,10
White Keyword,Superstars International,Motor Sports,10
White Keyword,First Test - Australia v India,Cricket,10
White Keyword,Football League Highlights Show,Soccer,10
White Keyword,Third Test - Australia v India,Cricket,10
White Keyword,Fourth Test - Australia v India,Cricket,10
White Keyword,Second Test - Australia v India,Cricket,10
White Keyword,International Super Series ,Field Hockey,10
White Keyword,Lanco International Super Series,Field Hockey,10
White Keyword,Hockey: International Super Series,Field Hockey,10
White Keyword,AFL,AFL,20
White Keyword,American Football,American Football,20
White Keyword,Baseball,Baseball,20
White Keyword,Basketball,Basketball,20
White Keyword,Boxing,Boxing,20
White Keyword,Cricket,Cricket,20
White Keyword,Cue Sports,Cue Sports,20
White Keyword,Cycling,Cycling,20
White Keyword,Darts,Darts,20
White Keyword,Field Hockey,Field Hockey,20
White Keyword,Fighting,Fighting,20
White Keyword,Fishing,Fishing,20
White Keyword,Golf,Golf,20
White Keyword,Ice Hockey,Ice Hockey,20
White Keyword,Lawn Bowls,Lawn Bowls,20
White Keyword,Motor Sports,Motor Sports,20
White Keyword,Netball,Netball,20
White Keyword,Poker,Poker,20
White Keyword,Racing,Racing,5
White Keyword,Rodeo,Rodeo,20
White Keyword,Rugby League,Rugby League,20
White Keyword,Rugby Union,Rugby Union,20
White Keyword,Soccer,Soccer,20
White Keyword,Squash,Squash,20
White Keyword,Surfing,Surfing,20
White Keyword,Table Tennis,Table Tennis,20
White Keyword,Tennis,Tennis,20
White Keyword,Triathlon,Triathlon,20
White Keyword,Volleyball,Volleyball,20
White Keyword,Catch and Cook,Fishing,10
White Keyword,DW Bundeslige Kick Off,Soccer,10
Black Keyword,Bless Me Father,"",
White Keyword,WNBL,Basketball,10
White Keyword,Fishin',Fishing,10
White Keyword,NAB Cup,AFL,10
Black Keyword,Who The (Bleep) Did I Marry?,"",
Black Keyword,The Karate Kid,"",
Black Keyword,F Troop,"",
Black Keyword,Fish Hooks,"",
White Keyword,USPGA,Golf,10
White Keyword,USLPGA,Golf,10
Black Keyword,Better Homes & Gardens,"",
White Keyword,IFISH,Fishing,10
White Keyword,Lightning Cup,AFL,10
White Keyword,NTFL,AFL,10
White Keyword,UCI Track,Cycling,10
White Keyword,Golfing,Golf,10
White Keyword,Match Play,Golf,10
Black Keyword,Surfing the Menu,"",
White Keyword,Surfers,Surfing,10
White Keyword,Surfari,Surfing,10
White Keyword,AutoSpeed,Motor Sports,10
White Keyword,UEL,Soccer,10
White Keyword,Classic Racers,Motor Sports,10
White Keyword,Sprintcar,Motor Sports,10
White Keyword,Rabbbitohs,Rugby League,10
White Keyword,English Super League,Rugby League,10
White Keyword,Ultimate Fighter,Fighting,10
White Keyword,Euro League,Basketball,10
White Keyword,Dallas Cowboys,American Football,10
White Keyword,League One,Soccer,10
White Keyword,Football Asia,Soccer,10
White Keyword,Iron Woman,Triathlon,10
White Keyword,Copa,Soccer,10
White Keyword,Scottish Div 3,Soccer,10
White Keyword,Fishin'Trip,Fishing,10
White Keyword,Test,Cricket,5
White Keyword,Mana Mamau,Boxing,10
White Keyword,Raceway,Motor Sports,10
White Keyword,Supercross,Motor Sports,10
White Keyword,Mt Panorama,Motor Sports,10
White Keyword,Bathurst 12 Hour,Motor Sports,10
White Keyword,Lingerie Football League,American Football,10
White Keyword,Dirt Series,Motor Sports,10
White Keyword,The Dirt,Motor Sports,10
White Keyword,College Gameday,Basketball,10
White Keyword,Rabo Pro 12,Rugby Union,10
White Keyword,Planet Speed,Motor Sports,10
White Keyword,Capital One Cup,Soccer,10
White Keyword,GP2,Motor Sports,10
Black Keyword,Family Guy,"",
Black Keyword,Double Trouble (The First Test),"",
Black Keyword,Rin Tin Tin - The Test,"",
White Keyword,WGC,Golf,10
White Keyword,Tirreno-Adriatico,Cycling,10
White Keyword,Dunlop Series,Motor Sports,10
White Keyword,NSW Cup,Rugby League,10
White Keyword,Little League,Baseball,10
White Keyword,Margaret River 7's,Rugby Union,10
White Keyword,Holden Cup,Rugby League,10
White Keyword,Chili Bowl,Motor Sports,10
White Keyword,LV= Cup,Rugby Union,10
White Keyword,Nike Lowers Pro,Surfing,10
White Keyword,Quiksilver Pro,Surfing,10
White Keyword,Paris-Nice,Cycling,10
White Keyword,Dallas Cowboy,American Football,10
White Keyword,West Coast Conference,Basketball,10
White Keyword,Nine's Sunday Football,Rugby League,10
White Keyword,Koori Knockout,Rugby League,10
White Keyword,Top 14,Rugby Union,10
White Keyword,Federation Cup,Tennis,10
Black Keyword,Double Trouble,"",
Black Keyword,Pat and Stan,"",
Black Keyword,My Family,"",
Black Keyword,Big Bang Theory,"",
Black Keyword,Looney Tunes,"",
White Keyword,Toyota Racing,Motor Sports,10
White Keyword,Drag Racing,Motor Sports,10
White Keyword,Road Racing,Motor Sports,10
White Keyword,Motor Mate,Motor Sports,10
